antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'crudit platter'}),frozenset({'fruit platter'}),0.014593243570104008,0.011368217366766105,0.005724421510924776,0.3922651933701657,34.5054269033345,0.005558522345933672,1.6267486605146848,0.9853992223674234
frozenset({'fruit platter'}),frozenset({'crudit platter'}),0.011368217366766105,0.014593243570104008,0.005724421510924776,0.5035460992907801,34.5054269033345,0.005558522345933672,1.9848907522373616,0.9821847411331469
frozenset({'crudit platter'}),frozenset({'sandwich platter'}),0.014593243570104008,0.015560751431105378,0.005885672821091671,0.4033149171270718,25.918730140554775,0.005658590985323706,1.6498472591756475,0.9756558462955865
frozenset({'sandwich platter'}),frozenset({'crudit platter'}),0.015560751431105378,0.014593243570104008,0.005885672821091671,0.3782383419689119,25.91873014055477,0.005658590985323706,1.5848625332580826,0.9766147218202014
frozenset({'scottish shortbread'}),frozenset({'assorted holiday cookies'}),0.013625735709102636,0.049262275255986455,0.00725630895751028,0.5325443786982249,10.810389409155619,0.006585074214443142,2.0338566516675733,0.9200325141227544
frozenset({'assorted holiday cookies'}),frozenset({'scottish shortbread'}),0.049262275255986455,0.013625735709102636,0.00725630895751028,0.14729950900163666,10.810389409155619,0.006585074214443142,1.1567652120570793,0.9545181290517112
frozenset({'apple pie'}),frozenset({'9inch pumpkin pie'}),0.06321051358542289,0.04869789567040232,0.016689510602273642,0.26403061224489793,5.421807423300446,0.01361129160641817,1.2925837951376162,0.8705901087382694
frozenset({'9inch pumpkin pie'}),frozenset({'apple pie'}),0.04869789567040232,0.06321051358542289,0.016689510602273642,0.34271523178807944,5.421807423300445,0.01361129160641817,1.4252414352503895,0.8573087951038182
frozenset({'blueberry pie'}),frozenset({'apple pie'}),0.017979521083608806,0.06321051358542289,0.005079416270257196,0.2825112107623318,4.469370595771941,0.003942921508542344,1.3056503466903169,0.7904670680532748
frozenset({'apple pie'}),frozenset({'blueberry pie'}),0.06321051358542289,0.017979521083608806,0.005079416270257196,0.08035714285714285,4.46937059577194,0.003942921508542344,1.0678280935789883,0.8286331774583774
frozenset({'9inch pumpkin pie'}),frozenset({'12 dinner rolls'}),0.04869789567040232,0.04531161815689753,0.009191324679513021,0.18874172185430463,4.165415615941175,0.006984744225851318,1.1767995563943547,0.7988292198417052
frozenset({'12 dinner rolls'}),frozenset({'9inch pumpkin pie'}),0.04531161815689753,0.04869789567040232,0.009191324679513021,0.20284697508896796,4.165415615941175,0.006984744225851318,1.1933745148063257,0.7959957744204275
frozenset({'apple pie'}),frozenset({'12 dinner rolls'}),0.06321051358542289,0.04531161815689753,0.008868822059179231,0.14030612244897958,3.096471239741448,0.006004651404095165,1.110498058405033,0.7227362705286794
frozenset({'12 dinner rolls'}),frozenset({'apple pie'}),0.04531161815689753,0.06321051358542289,0.008868822059179231,0.19572953736654802,3.096471239741448,0.006004651404095165,1.1647692286836113,0.7091861098955093
frozenset({'apple pie'}),frozenset({'raspberry pie'}),0.06321051358542289,0.029105861485124566,0.005079416270257196,0.08035714285714285,2.760857736446379,0.0032396198174362927,1.0557295486763694,0.6808292930162282
frozenset({'raspberry pie'}),frozenset({'apple pie'}),0.029105861485124566,0.06321051358542289,0.005079416270257196,0.1745152354570637,2.7608577364463787,0.0032396198174362927,1.1348355858914845,0.6569137647862112
frozenset({'assorted holiday cookies'}),frozenset({'12 dinner rolls'}),0.049262275255986455,0.04531161815689753,0.005643795855841328,0.11456628477905073,2.528408594509904,0.0034116424499020886,1.0782155292165168,0.6358160496220198
frozenset({'12 dinner rolls'}),frozenset({'assorted holiday cookies'}),0.04531161815689753,0.049262275255986455,0.005643795855841328,0.12455516014234874,2.528408594509904,0.0034116424499020886,1.0860052872075927,0.6331849385307707
